frame_index,elapsed_seconds,epoch_seconds,current_speed,current_angle,marker
0,0.612384,1781118138.691340,0,86,
1,0.684675,1781118138.763631,228,86,
2,0.761314,1781118138.840270,228,86,
3,0.833926,1781118138.912883,212,86,
4,0.910418,1781118138.989375,212,89,
5,0.978409,1781118139.057366,212,91,
6,1.043517,1781118139.122473,212,91,
7,1.123542,1781118139.202499,212,90,
8,1.211845,1781118139.290802,212,90,
9,1.277970,1781118139.356926,212,88,
10,1.344357,1781118139.423313,212,90,
11,1.415013,1781118139.493969,212,89,
12,1.479015,1781118139.557971,212,87,
13,1.546351,1781118139.625307,212,89,
14,1.625641,1781118139.704597,212,89,
15,1.691100,1781118139.770056,212,87,
16,1.753619,1781118139.832575,212,87,
17,1.817210,1781118139.896166,212,87,
18,1.878011,1781118139.956968,212,87,
19,1.938870,1781118140.017826,212,85,
20,1.997490,1781118140.076446,212,82,
21,2.069967,1781118140.148924,172,75,
22,2.148824,1781118140.227781,172,70,
23,2.220095,1781118140.299051,172,70,
24,2.313458,1781118140.392415,172,70,
25,2.377929,1781118140.456886,172,70,auto_front_wall
26,2.436490,1781118140.515446,172,70,
27,2.504173,1781118140.583129,172,70,
28,2.571167,1781118140.650123,172,70,
29,2.633219,1781118140.712175,172,70,
30,2.698257,1781118140.777213,172,70,
31,2.748669,1781118140.827625,172,70,
32,2.800334,1781118140.879291,172,70,
33,2.854996,1781118140.933953,172,70,
34,2.918490,1781118140.997447,172,70,
35,2.975219,1781118141.054175,172,70,
36,3.030091,1781118141.109048,172,70,
37,3.120685,1781118141.199642,172,70,
38,3.177448,1781118141.256404,172,70,
39,3.238243,1781118141.317199,172,70,
40,3.285975,1781118141.364931,172,70,
41,3.334104,1781118141.413060,172,70,
42,3.381317,1781118141.460273,172,70,
43,3.431336,1781118141.510292,172,70,
44,3.478323,1781118141.557280,172,70,
45,3.544086,1781118141.623042,172,70,
46,3.595927,1781118141.674884,172,70,
47,3.642107,1781118141.721063,172,70,
48,3.685012,1781118141.763969,172,70,
49,3.727739,1781118141.806695,172,70,
50,3.783277,1781118141.862233,172,70,auto_front_wall
51,3.831728,1781118141.910685,172,70,
52,3.875589,1781118141.954545,172,70,
53,3.919719,1781118141.998676,172,70,
54,3.973103,1781118142.052060,172,70,
55,4.024032,1781118142.102988,172,70,
56,4.078420,1781118142.157376,172,70,
57,4.138889,1781118142.217845,172,70,
58,4.198722,1781118142.277678,172,70,
59,4.249246,1781118142.328202,172,70,
60,4.298900,1781118142.377856,172,70,
61,4.349091,1781118142.428047,172,70,
62,4.407372,1781118142.486328,172,70,
63,4.462830,1781118142.541786,172,70,
64,4.515965,1781118142.594921,172,70,
65,4.583006,1781118142.661962,172,70,
66,4.663808,1781118142.742764,172,70,
67,4.724787,1781118142.803744,172,70,auto_curve_too_long
68,4.804025,1781118142.882981,172,70,
69,4.862912,1781118142.941868,172,70,
70,4.934854,1781118143.013810,172,70,
71,5.002991,1781118143.081947,172,70,
72,5.084141,1781118143.163098,172,70,
73,5.148550,1781118143.227507,212,73,
74,5.233916,1781118143.312872,212,76,
75,5.299055,1781118143.378011,212,79,
76,5.362767,1781118143.441723,212,82,
77,5.430072,1781118143.509028,212,85,
78,5.492963,1781118143.571919,212,84,
79,5.586342,1781118143.665298,212,81,
80,5.651496,1781118143.730452,212,81,
81,5.708888,1781118143.787844,172,74,
82,5.783239,1781118143.862195,172,70,
83,5.838628,1781118143.917584,172,70,
84,5.896981,1781118143.975938,172,70,
85,5.955839,1781118144.034796,172,70,
86,6.014365,1781118144.093321,184,73,
87,6.077527,1781118144.156483,172,70,
88,6.144887,1781118144.223843,172,70,
89,6.199709,1781118144.278666,172,70,
90,6.267709,1781118144.346665,172,70,
91,6.333772,1781118144.412729,172,70,
92,6.398707,1781118144.477664,172,70,auto_front_wall
93,6.463136,1781118144.542092,172,70,
94,6.525559,1781118144.604516,172,70,
95,6.589679,1781118144.668635,184,73,
96,6.653027,1781118144.731984,184,76,
97,6.721655,1781118144.800611,184,79,
98,6.787710,1781118144.866667,184,81,
99,6.850612,1781118144.929569,184,81,
100,6.915158,1781118144.994114,212,84,
101,6.979661,1781118145.058617,212,86,
102,7.044583,1781118145.123539,212,86,
103,7.110547,1781118145.189503,212,86,
104,7.170219,1781118145.249175,212,86,
105,7.228612,1781118145.307569,212,86,
106,7.323969,1781118145.402926,212,86,
107,7.383265,1781118145.462221,212,89,
108,7.443018,1781118145.521975,212,88,
109,7.503716,1781118145.582672,212,86,
110,7.578295,1781118145.657252,212,86,
111,7.641645,1781118145.720602,212,85,
112,7.703311,1781118145.782268,212,85,
113,7.758455,1781118145.837412,212,86,
114,7.816532,1781118145.895488,212,86,
115,7.869942,1781118145.948898,172,79,
116,7.921756,1781118146.000712,172,72,
117,7.975351,1781118146.054307,172,70,
118,8.037081,1781118146.116037,172,70,
119,8.106690,1781118146.185646,172,70,
120,8.154015,1781118146.232971,172,70,
121,8.207332,1781118146.286289,172,70,auto_front_wall
122,8.255833,1781118146.334790,172,70,
123,8.319052,1781118146.398008,172,70,
124,8.371272,1781118146.450228,172,70,
125,8.422982,1781118146.501938,172,70,
126,8.478188,1781118146.557144,172,70,
127,8.540087,1781118146.619043,172,70,
128,8.595803,1781118146.674759,172,70,
129,8.649531,1781118146.728487,172,70,
130,8.704028,1781118146.782984,172,70,
131,8.763507,1781118146.842463,172,70,
132,8.842830,1781118146.921787,172,70,
133,8.901886,1781118146.980843,212,73,
134,8.961239,1781118147.040195,212,76,
135,9.020331,1781118147.099288,212,79,
136,9.082974,1781118147.161931,212,82,
137,9.145388,1781118147.224344,212,85,
138,9.205324,1781118147.284281,212,88,
139,9.266461,1781118147.345417,212,87,
140,9.339316,1781118147.418273,212,88,
141,9.399311,1781118147.478268,212,88,
142,9.457099,1781118147.536056,188,85,
143,9.520314,1781118147.599271,212,88,
144,9.584795,1781118147.663752,212,90,
145,9.646712,1781118147.725668,188,87,
146,9.701468,1781118147.780424,212,90,
147,9.759879,1781118147.838835,172,83,
148,9.817363,1781118147.896319,172,76,
149,9.878321,1781118147.957278,172,70,
150,9.933950,1781118148.012907,172,70,
151,9.988996,1781118148.067952,172,70,
152,10.049304,1781118148.128260,172,70,
153,10.121722,1781118148.200679,172,70,auto_front_wall
154,10.188586,1781118148.267543,172,70,
155,10.243524,1781118148.322480,172,70,
156,10.295299,1781118148.374255,172,70,
157,10.359232,1781118148.438189,172,70,
158,10.409931,1781118148.488887,172,70,
159,10.459548,1781118148.538504,172,70,
160,10.510388,1781118148.589344,172,70,
161,10.569600,1781118148.648556,172,70,
162,10.623287,1781118148.702244,172,70,
163,10.669683,1781118148.748640,172,70,
164,10.714804,1781118148.793761,172,70,
165,10.759117,1781118148.838073,172,70,
166,10.804327,1781118148.883283,172,70,
167,10.849199,1781118148.928156,172,70,
168,10.891586,1781118148.970542,172,70,
169,10.933827,1781118149.012783,172,70,
170,10.976201,1781118149.055157,172,70,
171,11.027364,1781118149.106320,172,70,
172,11.086833,1781118149.165790,172,70,
173,11.131479,1781118149.210435,172,70,
174,11.180159,1781118149.259115,172,70,
175,11.223826,1781118149.302782,172,70,
176,11.269729,1781118149.348685,172,70,
177,11.317417,1781118149.396374,172,70,
178,11.376706,1781118149.455662,172,70,
179,11.418834,1781118149.497791,172,70,
180,11.460389,1781118149.539345,172,70,
181,11.510457,1781118149.589413,172,70,auto_front_wall
182,11.571439,1781118149.650395,172,70,
183,11.623754,1781118149.702710,172,70,
184,11.669577,1781118149.748534,172,70,
185,11.714003,1781118149.792959,172,70,
186,11.759091,1781118149.838048,172,70,
187,11.803734,1781118149.882690,172,70,
188,11.848593,1781118149.927550,172,70,
189,11.892972,1781118149.971928,172,70,
190,11.937300,1781118150.016256,172,70,
191,11.982387,1781118150.061343,172,70,
192,12.034477,1781118150.113433,172,70,
193,12.084258,1781118150.163215,172,70,
194,12.127848,1781118150.206805,172,70,
195,12.172594,1781118150.251550,172,70,
196,12.216596,1781118150.295552,172,70,
197,12.270345,1781118150.349301,172,70,
198,12.315589,1781118150.394546,172,70,
199,12.364810,1781118150.443766,172,70,auto_curve_too_long
200,12.435374,1781118150.514331,172,70,
201,12.489195,1781118150.568151,172,70,
202,12.548771,1781118150.627728,172,70,
203,12.612342,1781118150.691299,172,70,
204,12.674802,1781118150.753758,172,70,
205,12.732797,1781118150.811753,172,70,
206,12.791709,1781118150.870666,212,73,
207,12.852497,1781118150.931453,212,76,
208,12.912670,1781118150.991627,212,79,
209,12.973444,1781118151.052401,212,82,
210,13.036085,1781118151.115041,212,85,
211,13.105504,1781118151.184460,212,88,
212,13.166929,1781118151.245885,212,89,
213,13.226881,1781118151.305838,212,89,
214,13.287373,1781118151.366330,212,89,
215,13.348125,1781118151.427082,212,89,
216,13.412125,1781118151.491081,212,86,
217,13.486765,1781118151.565722,212,84,
218,13.546873,1781118151.625829,212,84,
219,13.614091,1781118151.693048,212,87,
220,13.676573,1781118151.755529,212,85,
221,13.739919,1781118151.818876,212,83,
222,13.800029,1781118151.878986,212,81,
223,13.861343,1781118151.940300,212,81,
224,13.918688,1781118151.997644,212,84,
225,13.975838,1781118152.054794,172,77,
226,14.037276,1781118152.116232,172,70,
227,14.098761,1781118152.177717,172,70,
228,14.155803,1781118152.234760,172,70,
229,14.211924,1781118152.290880,172,70,
230,14.266457,1781118152.345413,172,70,
231,14.325442,1781118152.404399,172,70,auto_front_wall
232,14.383018,1781118152.461974,172,70,
233,14.439155,1781118152.518112,172,70,
234,14.505269,1781118152.584225,172,70,
235,14.564067,1781118152.643023,172,70,
236,14.625893,1781118152.704850,172,70,
237,14.679658,1781118152.758614,172,70,
238,14.733952,1781118152.812908,172,70,
239,14.789206,1781118152.868162,172,70,
240,14.840522,1781118152.919478,172,70,
241,14.895003,1781118152.973959,172,70,
242,14.946829,1781118153.025785,172,70,
243,14.998362,1781118153.077318,172,70,
244,15.059184,1781118153.138140,172,70,
245,15.113460,1781118153.192416,172,70,
246,15.160568,1781118153.239525,172,70,
247,15.208007,1781118153.286963,172,70,
248,15.254250,1781118153.333206,172,70,
249,15.301070,1781118153.380027,172,70,
250,15.347948,1781118153.426904,172,70,
251,15.397143,1781118153.476099,172,70,
252,15.448569,1781118153.527525,172,70,
253,15.511979,1781118153.590935,172,70,
254,15.568617,1781118153.647573,172,70,
255,15.621876,1781118153.700833,172,70,
256,15.675620,1781118153.754576,172,70,
257,15.732500,1781118153.811456,172,70,auto_front_wall
258,15.795186,1781118153.874142,172,70,
259,15.849590,1781118153.928546,172,70,
260,15.904504,1781118153.983460,172,70,
261,15.964201,1781118154.043157,172,70,
262,16.025264,1781118154.104220,172,70,
263,16.090353,1781118154.169309,212,73,
264,16.153266,1781118154.232223,212,76,
265,16.215784,1781118154.294740,212,79,
266,16.275690,1781118154.354646,212,82,
267,16.336842,1781118154.415798,212,85,
268,16.398831,1781118154.477788,212,88,
269,16.464915,1781118154.543871,212,88,
270,16.541349,1781118154.620306,212,88,
271,16.610192,1781118154.689148,212,88,
272,16.671815,1781118154.750772,212,88,
273,16.732829,1781118154.811786,212,89,
274,16.793512,1781118154.872468,212,89,
275,16.855654,1781118154.934611,212,89,
276,16.918693,1781118154.997649,212,86,
277,16.980470,1781118155.059427,212,87,
278,17.041215,1781118155.120172,212,87,
279,17.103017,1781118155.181973,212,87,
280,17.162748,1781118155.241704,212,87,
281,17.225778,1781118155.304734,212,87,
282,17.287090,1781118155.366046,212,87,
283,17.348720,1781118155.427677,212,87,
284,17.407694,1781118155.486650,188,84,
285,17.467098,1781118155.546054,188,82,
286,17.541965,1781118155.620922,188,82,
287,17.603897,1781118155.682853,188,82,
288,17.658153,1781118155.737109,212,81,
289,17.711940,1781118155.790896,172,74,
290,17.764882,1781118155.843839,172,70,
291,17.819664,1781118155.898621,172,70,
292,17.873753,1781118155.952709,172,70,
293,17.928039,1781118156.006996,172,70,
294,17.987083,1781118156.066040,172,70,
295,18.077690,1781118156.156646,172,70,auto_front_wall
296,18.156506,1781118156.235462,172,70,
297,18.223166,1781118156.302122,172,70,
298,18.280660,1781118156.359617,172,70,
299,18.349795,1781118156.428751,172,70,
300,18.416915,1781118156.495872,172,70,
301,18.483526,1781118156.562482,172,70,
302,18.549859,1781118156.628816,172,70,
303,18.611581,1781118156.690537,172,70,
304,18.661686,1781118156.740643,172,70,
305,18.713445,1781118156.792402,172,70,
306,18.765479,1781118156.844435,172,70,
307,18.814633,1781118156.893590,172,70,
308,18.862562,1781118156.941518,172,70,
309,18.909390,1781118156.988347,172,70,
310,18.958718,1781118157.037675,172,70,
311,19.008274,1781118157.087230,172,70,
312,19.067938,1781118157.146895,172,70,
313,19.123049,1781118157.202006,172,70,
314,19.168816,1781118157.247772,172,70,
315,19.222475,1781118157.301431,172,70,
316,19.269208,1781118157.348164,172,70,
317,19.316384,1781118157.395340,172,70,
318,19.362792,1781118157.441748,172,70,
319,19.409788,1781118157.488744,172,70,
320,19.459345,1781118157.538301,172,70,auto_front_wall
321,19.544741,1781118157.623698,172,70,
322,19.611999,1781118157.690955,172,70,
323,19.662116,1781118157.741072,172,70,
324,19.721557,1781118157.800513,172,70,
325,19.770029,1781118157.848985,172,70,
326,19.819232,1781118157.898188,172,70,
327,19.873352,1781118157.952308,172,70,
328,19.928001,1781118158.006958,172,70,
329,19.981435,1781118158.060391,172,70,
330,20.040897,1781118158.119853,172,70,
331,20.103214,1781118158.182170,172,70,
332,20.158123,1781118158.237080,172,70,
333,20.212963,1781118158.291919,172,70,
334,20.264923,1781118158.343879,172,70,
335,20.324925,1781118158.403882,172,70,auto_curve_too_long
336,20.382781,1781118158.461737,172,70,
337,20.449351,1781118158.528308,172,70,
338,20.508213,1781118158.587169,172,70,
339,20.572278,1781118158.651235,212,73,
340,20.646958,1781118158.725914,212,76,
341,20.707413,1781118158.786370,212,79,
342,20.770464,1781118158.849420,212,82,
343,20.851466,1781118158.930422,212,85,
344,20.914636,1781118158.993593,212,88,
345,20.979299,1781118159.058256,212,90,
346,21.043759,1781118159.122715,212,87,
347,21.107676,1781118159.186632,212,85,
348,21.173123,1781118159.252079,212,87,
349,21.237872,1781118159.316828,212,85,
350,21.293005,1781118159.371961,212,82,
351,21.350919,1781118159.429876,172,75,
352,21.411963,1781118159.490919,184,78,
353,21.475525,1781118159.554481,184,81,
354,21.543858,1781118159.622815,184,80,
355,21.634097,1781118159.713054,184,81,
356,21.732287,1781118159.811243,184,80,
357,21.789339,1781118159.868295,184,81,
358,21.851362,1781118159.930318,172,74,
359,21.913013,1781118159.991970,172,70,
360,21.969879,1781118160.048835,172,70,
361,22.031181,1781118160.110137,172,70,
362,22.090719,1781118160.169676,172,70,
363,22.168187,1781118160.247143,172,70,auto_front_wall
364,22.226583,1781118160.305539,172,70,
365,22.283103,1781118160.362059,172,70,
366,22.341129,1781118160.420085,172,70,
367,22.401057,1781118160.480013,172,70,
368,22.462118,1781118160.541075,172,70,
369,22.522917,1781118160.601873,172,70,
370,22.588746,1781118160.667703,172,70,
371,22.649264,1781118160.728220,172,70,
372,22.717042,1781118160.795998,172,70,
373,22.773270,1781118160.852226,172,70,
374,22.827724,1781118160.906680,172,70,
375,22.882746,1781118160.961702,172,70,
376,22.934325,1781118161.013281,172,70,
377,22.988131,1781118161.067087,172,70,
378,23.078128,1781118161.157085,172,70,
379,23.135573,1781118161.214530,172,70,
380,23.188254,1781118161.267210,172,70,
381,23.265207,1781118161.344163,172,70,
382,23.319096,1781118161.398052,172,70,
383,23.372557,1781118161.451514,172,70,
384,23.425104,1781118161.504061,172,70,
385,23.480197,1781118161.559153,172,70,
386,23.541735,1781118161.620691,172,70,
387,23.618940,1781118161.697897,172,70,auto_front_wall
388,23.681477,1781118161.760433,212,73,
389,23.754450,1781118161.833406,212,76,
390,23.817976,1781118161.896932,212,79,
391,23.885372,1781118161.964328,212,82,
392,23.948200,1781118162.027157,212,85,
393,24.011964,1781118162.090920,212,88,
394,24.083877,1781118162.162833,212,88,
395,24.161360,1781118162.240316,212,88,
396,24.229886,1781118162.308842,188,85,
397,24.297249,1781118162.376205,188,82,
398,24.386660,1781118162.465617,212,83,
399,24.447716,1781118162.526673,212,86,
400,24.510125,1781118162.589082,212,89,
401,24.574444,1781118162.653401,212,87,
402,24.637457,1781118162.716413,212,89,
403,24.698459,1781118162.777416,212,86,
404,24.771995,1781118162.850952,212,87,
405,24.831937,1781118162.910894,212,87,
406,24.892342,1781118162.971298,212,85,
407,24.956013,1781118163.034970,212,88,
408,25.017325,1781118163.096282,212,89,
409,25.082353,1781118163.161309,212,87,
410,25.145560,1781118163.224516,212,87,
411,25.208474,1781118163.287431,212,87,
412,25.266297,1781118163.345254,188,84,
413,25.323925,1781118163.402882,188,82,
414,25.382767,1781118163.461723,188,82,
415,25.437654,1781118163.516610,212,81,
